section_id,section_level,section_title,section_text,word_count,code_block_count,link_count
14,h2,Going down,"Tags may contain strings and more tags. These elements are the tag's children . Beautiful Soup provides a lot of different attributes for navigating and iterating over a tag's children. Note that Beautiful Soup strings don't support any of these attributes, because a string can't have children. Navigating using tag names  The simplest way to navigate the parse tree is to find a tag by name. To do this, you can use the find() method: soup . find ( ""head"" ) # <head><title>The Dormouse's story</tit...",902,47,8
15,h3,Navigating using tag names,"The simplest way to navigate the parse tree is to find a tag by name. To do this, you can use the find() method: soup . find ( ""head"" ) # <head><title>The Dormouse's story</title></head> For convenience, just saying the name of the tag you want is equivalent to find() (if no built-in attribute has that name). If you want the <head> tag, just say soup.head : soup . head # <head><title>The Dormouse's story</title></head> soup . title # <title>The Dormouse's story</title> You can use this trick aga...",196,10,1
16,h3,.contents and .children,"A tag's children are available in a list called .contents : head_tag = soup . head head_tag # <head><title>The Dormouse's story</title></head> head_tag . contents # [<title>The Dormouse's story</title>] title_tag = head_tag . contents [ 0 ] title_tag # <title>The Dormouse's story</title> title_tag . contents # ['The Dormouse's story'] The BeautifulSoup object itself has children. In this case, the <html> tag is the child of the BeautifulSoup object.: len ( soup . contents ) # 1 soup . contents [...",185,10,1
17,h3,.descendants,"The .contents and .children attributes consider only a tag's direct children. For instance, the <head> tag has a single direct child—the <title> tag: head_tag . contents # [<title>The Dormouse's story</title>] But the <title> tag itself has a child: the string ""The Dormouse's story"". There's a sense in which that string is also a child of the <head> tag. The .descendants attribute lets you iterate over all of a tag's children, recursively: its direct children, the children of its direct children...",161,7,0
18,h3,.string,"If a tag has only one child, and that child is a NavigableString , the child is made available as .string : title_tag . string # 'The Dormouse's story' If a tag's only child is another tag, and that tag has a .string , then the parent tag is considered to have the same .string as its child: head_tag . contents # [<title>The Dormouse's story</title>] head_tag . string # 'The Dormouse's story' If a tag contains more than one thing, then it's not clear what .string should refer to, so .string is de...",107,10,1
19,h3,.strings and stripped_strings,"If there's more than one thing inside a tag, you can still look at just the strings. Use the .strings generator to see all descendant strings: for string in soup . strings : print ( repr ( string )) ' \n ' # ""The Dormouse's story"" # '\n' # '\n' # ""The Dormouse's story"" # '\n' # 'Once upon a time there were three little sisters; and their names were\n' # 'Elsie' # ',\n' # 'Lacie' # ' and\n' # 'Tillie' # ';\nand they lived at the bottom of a well.' # '\n' # '...' # '\n' Newlines and spaces that se...",194,4,0
20,h2,Going up,"Continuing the ""family tree"" analogy, every tag and every string has a parent : the tag that contains it. .parent  You can access an element's parent with the .parent attribute. In the example ""three sisters"" document, the <head> tag is the parent of the <title> tag: title_tag = soup . title title_tag # <title>The Dormouse's story</title> title_tag . parent # <head><title>The Dormouse's story</title></head> The title string itself has a parent: the <title> tag that contains it: title_tag . strin...",243,17,3
21,h3,.parent,"You can access an element's parent with the .parent attribute. In the example ""three sisters"" document, the <head> tag is the parent of the <title> tag: title_tag = soup . title title_tag # <title>The Dormouse's story</title> title_tag . parent # <head><title>The Dormouse's story</title></head> The title string itself has a parent: the <title> tag that contains it: title_tag . string . parent # <title>The Dormouse's story</title> The parent of a top-level tag like <html> is the BeautifulSoup obj...",111,8,0
22,h3,.parents,"You can iterate over all of an element's parents with .parents . This example uses .parents to travel from an <a> tag buried deep within the document, to the very top of the document: link = soup . a link # <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a> for parent in link . parents : print ( parent . name ) # p # body # html # [document]",66,3,0
23,h3,.self_and_parents,"The .self_and_parents generator is a variant of .parents which gives you the entire ancestry of an element, including the element itself: for tag in link . self_and_parents : print ( tag . name ) # link # p # body # html # [document]",44,3,0
24,h2,Going sideways,"Consider a simple document like this: sibling_soup = BeautifulSoup ( ""<a><b>text1</b><c>text2</c></a>"" , 'html.parser' ) print ( sibling_soup . prettify ()) # <a> # <b> # text1 # </b> # <c> # text2 # </c> # </a> The <b> tag and the <c> tag are at the same level: they're both direct children of the same tag. We call them siblings . When a document is pretty-printed, siblings show up at the same indentation level. You can also use this relationship in the code you write. .next_sibling and .previou...",460,24,3
25,h3,.next_sibling and .previous_sibling,"You can use .next_sibling and .previous_sibling to navigate between page elements that are on the same level of the parse tree: sibling_soup . b . next_sibling # <c>text2</c> sibling_soup . c . previous_sibling # <b>text1</b> The <b> tag has a .next_sibling , but no .previous_sibling , because there's nothing before the <b> tag on the same level of the tree . For the same reason, the <c> tag has a .previous_sibling but no .next_sibling : print ( sibling_soup . b . previous_sibling ) # None print...",243,16,0
26,h3,.next_siblings and .previous_siblings,"You can iterate over a tag's siblings with .next_siblings or .previous_siblings : for sibling in soup . a . next_siblings : print ( repr ( sibling )) # ',\n' # <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a> # ' and\n' # <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a> # '; and they lived at the bottom of a well.' for sibling in soup . find ( id = ""link3"" ) . previous_siblings : print ( repr ( sibling )) # ' and\n' # <a class=""sister"" href=""http://e...",126,3,1
27,h2,Going back and forth,"Take a look at the beginning of the ""three sisters"" document: # <html><head><title>The Dormouse's story</title></head> # <p class=""title""><b>The Dormouse's story</b></p> An HTML parser takes this string of characters and turns it into a series of events: ""open an <html> tag"", ""open a <head> tag"", ""open a <title> tag"", ""add a string"", ""close the <title> tag"", ""open a <p> tag"", and so on. The order in which the opening tags and strings are encountered is called document order . Beautiful Soup offe...",384,15,2
28,h3,.next_element and .previous_element,"The .next_element attribute of a string or tag points to whatever was parsed immediately after the opening of the current tag or after the current string. It might be the same as .next_sibling , but it's usually drastically different. Here's the final <a> tag in the ""three sisters"" document. Its .next_sibling is a string: the conclusion of the sentence that was interrupted by the start of the <a> tag: last_a_tag = soup . find ( ""a"" , id = ""link3"" ) last_a_tag # <a class=""sister"" href=""http://exa...",230,9,0
29,h3,.next_elements and .previous_elements,"You should get the idea by now. You can use these iterators to move forward or backward in the document as it was parsed: for element in last_a_tag . next_elements : print ( repr ( element )) # 'Tillie' # ';\nand they lived at the bottom of a well.' # '\n' # <p class=""story"">...</p> # '...' # '\n'",58,1,0
30,h1,Searching the tree,"Beautiful Soup defines a lot of methods for searching the parse tree, but they're all very similar. I'm going to spend a lot of time explaining the two most popular methods: find() and find_all() . The other methods take almost exactly the same arguments, so I'll just cover them briefly. Once again, I'll be using the ""three sisters"" document as an example: html_doc = """""" <html><head><title>The Dormouse's story</title></head> <body> <p class=""title""><b>The Dormouse's story</b></p> <p class=""story...",4687,208,117
31,h2,Kinds of filters,"Before talking in detail about find_all() and similar methods, I want to show examples of different filters you can pass into these methods. These filters show up again and again, throughout the search API. You can use them to filter based on a tag's name, on its attributes, on the text of a string, or on some combination of these. A string  The simplest filter is a string. Pass a string to a search method and Beautiful Soup will perform a tag-name match against that exact string. This code find...",607,17,5
32,h3,A string,"The simplest filter is a string. Pass a string to a search method and Beautiful Soup will perform a tag-name match against that exact string. This code finds all the <b> tags in the document: soup . find_all ( 'b' ) # [<b>The Dormouse's story</b>] If you pass in a byte string, Beautiful Soup will assume the string is encoded as UTF-8. You can avoid this by passing in a Unicode string instead.",73,1,0
33,h3,A regular expression,"If you pass in a regular expression object, Beautiful Soup will filter against that regular expression using its search() method. This code finds all the tags whose names start with the letter ""b""; in this case, the <body> tag and the <b> tag: import re for tag in soup . find_all ( re . compile ( ""^b"" )): print ( tag . name ) # body # b This code finds all the tags whose names contain the letter 't': for tag in soup . find_all ( re . compile ( ""t"" )): print ( tag . name ) # html # title",103,3,0
34,h3,True,"The value True matches every tag it can. This code finds all the tags in the document, but none of the text strings: for tag in soup . find_all ( True ): print ( tag . name ) # html # head # title # body # p # b # p # a # a # a # p",60,2,0
35,h3,A function,"If none of the other matches work for you, define a function that takes an element as its only argument. The function should return True if the argument matches, and False otherwise. Here's a function that returns True if a tag defines the ""class"" attribute but doesn't define the ""id"" attribute: def has_class_but_no_id ( tag ): return tag . has_attr ( 'class' ) and not tag . has_attr ( 'id' ) Pass this function into find_all() and you'll pick up all the <p> tags: soup . find_all ( has_class_but_...",228,8,0
36,h3,A list,"If you pass in a list, Beautiful Soup will look for a match against any string, regular expression, or function in that list. This code finds all the <a> tags and all the <b> tags: soup . find_all ([ ""a"" , ""b"" ]) # [<b>The Dormouse's story</b>, # <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>, # <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>, # <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>] Now we're ready to look at the ...",73,1,0
37,h2,find_all(),"Method signature: find_all( name , attrs , recursive , string , limit , **kwargs ) The find_all() method looks through a tag's descendants and retrieves all descendants that match your filters. I gave several examples in Kinds of filters , but here are a few more: soup . find_all ( ""title"" ) # [<title>The Dormouse's story</title>] soup . find_all ( ""p"" , ""title"" ) # [<p class=""title""><b>The Dormouse's story</b></p>] soup . find_all ( ""a"" ) # [<a class=""sister"" href=""http://example.com/elsie"" id=...",1665,79,31
38,h3,The name argument,"Pass in a value for name and you'll tell Beautiful Soup to only consider tags with certain names. Text strings will be ignored, as will tags whose names that don't match. This is the simplest usage: soup . find_all ( ""title"" ) # [<title>The Dormouse's story</title>] Recall from Kinds of filters that the value to name can be a string , a regular expression , a list , a function , or the value True .",76,3,6
39,h3,The keyword arguments,"Any keyword argument that's not recognized will be turned into a filter that matches tags by their attributes. If you pass in a value for an argument called id , Beautiful Soup will filter against each tag's 'id' attribute value: soup . find_all ( id = 'link2' ) # [<a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>] Just as with tags, you can filter an attribute based on a string , a regular expression , a list , a function , or the value True . If you pass in a regular expre...",500,21,5
40,h3,Searching by CSS class,"It's very useful to search for a tag that has a certain CSS class, but the name of the CSS attribute, ""class"", is a reserved word in Python. Using class as a keyword argument will give you a syntax error. As of Beautiful Soup 4.1.2, you can search by CSS class using the keyword argument class_ : soup . find_all ( ""a"" , class_ = ""sister"" ) # [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>, # <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>, # <a class...",381,15,2
41,h3,The string argument,"With the string argument, you can search for strings instead of tags. As with name and attribute keyword arguments, you can pass in a string , a regular expression , a function , a list , or the value True . Here are some examples: soup . find_all ( string = ""Elsie"" ) # ['Elsie'] soup . find_all ( string = [ ""Tillie"" , ""Elsie"" , ""Lacie"" ]) # ['Elsie', 'Lacie', 'Tillie'] soup . find_all ( string = re . compile ( ""Dormouse"" )) # [""The Dormouse's story"", ""The Dormouse's story""] def is_the_only_stri...",219,11,5
42,h3,The limit argument,"find_all() returns all the tags and strings that match your filters. This can take a while if the document is large. If you don't need all the results, you can pass in a number for limit . This works just like the LIMIT keyword in SQL. It tells Beautiful Soup to stop gathering results after it's found a certain number. There are three links in the ""three sisters"" document, but this code only finds the first two: soup . find_all ( ""a"" , limit = 2 ) # [<a class=""sister"" href=""http://example.com/el...",97,3,0
43,h3,The recursive argument,"By default, mytag.find_all() will examine all the descendants of mytag : its children, its children's children, and so on. To consider only direct children, you can pass in recursive=False . See the difference here: soup . html . find_all ( ""title"" ) # [<title>The Dormouse's story</title>] soup . html . find_all ( ""title"" , recursive = False ) # [] Here's that part of the document: < html > < head > < title > The Dormouse 's story </ title > </ head > ... The <title> tag is beneath the <html> ta...",196,16,0
44,h2,Calling a tag is like calling find_all(),"For convenience, calling a BeautifulSoup object or Tag object as a function is equivalent to calling find_all() (if no built-in method has the name of the tag you're looking for). These two lines of code are equivalent: soup . find_all ( ""a"" ) soup ( ""a"" ) These two lines are also equivalent: soup . title . find_all ( string = True ) soup . title ( string = True )",71,5,1
45,h2,find(),"Method signature: find( name , attrs , recursive , string , **kwargs ) The find_all() method scans the entire document looking for results, but sometimes you only want to find one result. If you know a document has only one <body> tag, it's a waste of time to scan the entire document looking for more. Rather than passing in limit=1 every time you call find_all , you can use the find() method. These two lines of code are nearly equivalent: soup . find_all ( 'title' , limit = 1 ) # [<title>The Dor...",194,14,6
46,h2,find_parents() and find_parent(),"Method signature: find_parents( name , attrs , string , limit , **kwargs ) Method signature: find_parent( name , attrs , string , **kwargs ) I spent a lot of time above covering find_all() and find() . The Beautiful Soup API defines ten other methods for searching the tree, but don't be afraid. Five of these methods are basically the same as find_all() , and the other five are basically the same as find() . The only differences are in how they move from one part of the tree to another. First let...",347,13,11
47,h2,find_next_siblings() and find_next_sibling(),"Method signature: find_next_siblings( name , attrs , string , limit , **kwargs ) Method signature: find_next_sibling( name , attrs , string , **kwargs ) These methods use .next_siblings to iterate over the rest of an element's siblings in the tree. The find_next_siblings() method returns all the siblings that match, and find_next_sibling() returns only the first one: first_link = soup . a first_link # <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a> first_link . find_next_s...",102,3,10
48,h2,find_previous_siblings() and find_previous_sibling(),"Method signature: find_previous_siblings( name , attrs , string , limit , **kwargs ) Method signature: find_previous_sibling( name , attrs , string , **kwargs ) These methods use .previous_siblings to iterate over an element's siblings that precede it in the tree. The find_previous_siblings() method returns all the siblings that match, and find_previous_sibling() returns only the first one: last_link = soup . find ( ""a"" , id = ""link3"" ) last_link # <a class=""sister"" href=""http://example.com/till...",111,3,10
49,h2,find_all_next() and find_next(),"Method signature: find_all_next( name , attrs , string , limit , **kwargs ) Method signature: find_next( name , attrs , string , **kwargs ) These methods use .next_elements to iterate over whatever tags and strings that come after it in the document. The find_all_next() method returns all matches, and find_next() returns only the first match: first_link = soup . a first_link # <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a> first_link . find_all_next ( string = True ) # ['...",180,3,11
50,h2,find_all_previous() and find_previous(),"Method signature: find_all_previous( name , attrs , string , limit , **kwargs ) Method signature: find_previous( name , attrs , string , **kwargs ) These methods use .previous_elements to iterate over the tags and strings that came before it in the document. The find_all_previous() method returns all matches, and find_previous() only returns the first match: first_link = soup . a first_link # <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a> first_link . find_all_previous ( ...",177,4,11
51,h2,CSS selectors through the .css property,"BeautifulSoup and Tag objects support CSS selectors through their .css property. The actual selector implementation is handled by the Soup Sieve package, available on PyPI as soupsieve . If you installed Beautiful Soup through pip , Soup Sieve was installed at the same time, so you don't have to do anything extra. The Soup Sieve documentation lists all the currently supported CSS selectors , but here are some of the basics. You can find tags by name: soup . css . select ( ""title"" ) # [<title>The...",1052,49,11
52,h3,Advanced Soup Sieve features,"Soup Sieve offers a substantial API beyond the select() and select_one() methods, and you can access most of that API through the .css attribute of Tag or BeautifulSoup . What follows is just a list of the supported methods; see the Soup Sieve documentation for full documentation. The iselect() method works the same as select() , but it returns a generator instead of a list: [ tag [ 'id' ] for tag in soup . css . iselect ( "".sister"" )] # ['link1', 'link2', 'link3'] The closest() method returns t...",252,19,4
53,h3,Namespaces in CSS selectors,"If you've parsed XML that defines namespaces, you can use them in CSS selectors.: from bs4 import BeautifulSoup xml = """"""<tag xmlns:ns1=""http://namespace1/"" xmlns:ns2=""http://namespace2/""> <ns1:child>I'm in namespace 1</ns1:child> <ns2:child>I'm in namespace 2</ns2:child> </tag> """""" namespace_soup = BeautifulSoup ( xml , ""xml"" ) namespace_soup . css . select ( ""child"" ) # [<ns1:child>I'm in namespace 1</ns1:child>, <ns2:child>I'm in namespace 2</ns2:child>] namespace_soup . css . select ( ""ns1|c...",129,2,0
54,h3,History of CSS selector support,"The .css property was added in Beautiful Soup 4.12.0. Prior to this, only the .select() and .select_one() convenience methods were supported. The Soup Sieve integration was added in Beautiful Soup 4.7.0. Earlier versions had the .select() method, but only the most commonly-used CSS selectors were supported.",46,4,0
55,h1,Modifying the tree,"Beautiful Soup's main strength is in searching the parse tree, but you can also modify the tree and write your changes as a new HTML or XML document. Changing tag names and attributes  I covered this earlier, in Tag.attrs , but it bears repeating. You can rename a tag, change the values of its attributes, add new attributes, and delete attributes: soup = BeautifulSoup ( '<b class=""boldest"">Extremely bold</b>' , 'html.parser' ) tag = soup . b tag . name = ""blockquote"" tag [ 'class' ] = 'verybold'...",1570,75,23
56,h2,Changing tag names and attributes,"I covered this earlier, in Tag.attrs , but it bears repeating. You can rename a tag, change the values of its attributes, add new attributes, and delete attributes: soup = BeautifulSoup ( '<b class=""boldest"">Extremely bold</b>' , 'html.parser' ) tag = soup . b tag . name = ""blockquote"" tag [ 'class' ] = 'verybold' tag [ 'id' ] = 1 tag # <blockquote class=""verybold"" id=""1"">Extremely bold</blockquote> del tag [ 'class' ] del tag [ 'id' ] tag # <blockquote>Extremely bold</blockquote>",80,2,1
57,h2,Modifying .string,"If you set a tag's .string attribute to a new string, the tag's contents are replaced with that string: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) tag = soup . a tag . string = ""New link text."" tag # <a href=""http://example.com/"">New link text.</a> Be careful: if the tag contained other tags, they and all their contents will be destroyed.",68,2,0
58,h2,append(),"You can add to a tag's contents with Tag.append() . It works just like calling .append() on a Python list: soup = BeautifulSoup ( ""<a>Foo</a>"" , 'html.parser' ) new_string = soup . a . append ( ""Bar"" ) soup # <a>FooBar</a> soup . a . contents # ['Foo', 'Bar'] new_string # 'Bar' Tag.append() returns the newly appended element.",58,4,0
59,h2,extend(),"Starting in Beautiful Soup 4.7.0, Tag also supports a method called .extend() , which adds every element of a list to a Tag , in order: soup = BeautifulSoup ( ""<a>Soup</a>"" , 'html.parser' ) soup . a . extend ([ ""'s"" , "" "" , ""on"" ]) soup # <a>Soup's on</a> soup . a . contents # ['Soup', ''s', ' ', 'on'] Tag.extend() returns the list of appended elements.",69,5,2
60,h2,NavigableString() and .new_tag(),"If you need to add a string to a document, no problem—you can pass a Python string in to append() , or you can call the NavigableString constructor: from bs4 import NavigableString soup = BeautifulSoup ( ""<b></b>"" , 'html.parser' ) tag = soup . b tag . append ( ""Hello"" ) new_string = NavigableString ( "" there"" ) tag . append ( new_string ) tag # <b>Hello there.</b> tag . contents # ['Hello', ' there'] If you want to create a comment or some other subclass of NavigableString , just call the const...",265,8,2
61,h2,insert(),"Tag.insert() is just like Tag.append() , except the new element doesn't necessarily go at the end of its parent's .contents . It will be inserted at whatever numeric position you say, similar to .insert() on a Python list: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) tag = soup . a new_string = tag . insert ( 1 , ""but did not endorse "" ) tag # <a href=""http://example.com/"">I linked to but did not endorse <i>example.co...",135,7,0
62,h2,insert_before() and insert_after(),"The insert_before() method inserts tags or strings immediately before something else in the parse tree: soup = BeautifulSoup ( ""<b>leave</b>"" , 'html.parser' ) tag = soup . new_tag ( ""i"" ) tag . string = ""Don't"" soup . b . string . insert_before ( tag ) soup . b # <b><i>Don't</i>leave</b> The insert_after() method inserts tags or strings immediately after something else in the parse tree: div = soup . new_tag ( 'div' ) div . string = 'ever' soup . b . i . insert_after ( "" you "" , div ) soup . b ...",121,4,0
63,h2,clear(),"Tag.clear() removes the contents of a tag: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) tag = soup . a tag . clear () tag # <a href=""http://example.com/""></a>",35,2,0
64,h2,extract(),"PageElement.extract() removes a tag or string from the tree. It returns the tag or string that was extracted: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) a_tag = soup . a i_tag = soup . i . extract () a_tag # <a href=""http://example.com/"">I linked to</a> i_tag # <i>example.com</i> print ( i_tag . parent ) # None At this point you effectively have two parse trees: one rooted at the BeautifulSoup object you used to par...",130,5,0
65,h2,decompose(),"Tag.decompose() removes a tag from the tree, then completely destroys it and its contents : markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) a_tag = soup . a i_tag = soup . i i_tag . decompose () a_tag # <a href=""http://example.com/"">I linked to</a> The behavior of a decomposed Tag or NavigableString is not defined and you should not use it for anything. If you're not sure whether something has been decomposed, you can ch...",100,6,2
66,h2,replace_with(),"PageElement.replace_with() extracts a tag or string from the tree, then replaces it with one or more tags or strings of your choice: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) a_tag = soup . a new_tag = soup . new_tag ( ""b"" ) new_tag . string = ""example.com"" a_tag . i . replace_with ( new_tag ) a_tag # <a href=""http://example.com/"">I linked to <b>example.com</b></a> bold_tag = soup . new_tag ( ""b"" ) bold_tag . strin...",154,3,0
67,h2,wrap(),"PageElement.wrap() wraps an element in the Tag object you specify. It returns the new wrapper: soup = BeautifulSoup ( ""<p>I wish I was bold.</p>"" , 'html.parser' ) soup . p . string . wrap ( soup . new_tag ( ""b"" )) # <b>I wish I was bold.</b> soup . p . wrap ( soup . new_tag ( ""div"" )) # <div><p><b>I wish I was bold.</b></p></div> This method is new in Beautiful Soup 4.0.5.",73,3,1
68,h2,unwrap(),"Tag.unwrap() is the opposite of wrap() . It replaces a tag with whatever's inside that tag. It's good for stripping out markup: markup = '<a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) a_tag = soup . a a_tag . i . unwrap () a_tag # <a href=""http://example.com/"">I linked to example.com</a> Like replace_with() , unwrap() returns the tag that was replaced.",65,5,0
69,h2,smooth(),"After calling a bunch of methods that modify the parse tree, you may end up with two or more NavigableString objects next to each other. Beautiful Soup doesn't have any problems with this, but since it can't happen in a freshly parsed document, you might not expect behavior like the following: soup = BeautifulSoup ( ""<p>A one</p>"" , 'html.parser' ) soup . p . append ( "", a two"" ) soup . p . contents # ['A one', ', a two'] print ( soup . p . encode ()) # b'<p>A one, a two</p>' print ( soup . p . ...",166,4,1
70,h1,Output,"Pretty-printing  The prettify() method will turn a Beautiful Soup parse tree into a nicely formatted Unicode string, with a separate line for each tag and each string: markup = '<html><head><body><a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) soup . prettify () # '<html>\n <head>\n </head>\n <body>\n <a href=""http://example.com/"">\n...' print ( soup . prettify ()) # <html> # <head> # </head> # <body> # <a href=""http://example.com...",1393,49,15
71,h2,Pretty-printing,"The prettify() method will turn a Beautiful Soup parse tree into a nicely formatted Unicode string, with a separate line for each tag and each string: markup = '<html><head><body><a href=""http://example.com/"">I linked to <i>example.com</i></a>' soup = BeautifulSoup ( markup , 'html.parser' ) soup . prettify () # '<html>\n <head>\n </head>\n <body>\n <a href=""http://example.com/"">\n...' print ( soup . prettify ()) # <html> # <head> # </head> # <body> # <a href=""http://example.com/""> # I linked to...",167,8,1
